Observations précipitations annuelles totales (mm),01- Bas-St-Laurent,02-Saguenay-Lac-St-Jean,03-Capitale-Nationale,04- Mauricie,05 - Estrie,06 - Montréal,07- Outaouais,08 - Abitbi-Témiscamingue,09- Côte-Nord,10 - Nord-du-Québec,11- Gaspésie - Îles de la Madeleine,12-Chaudière-Appalaches,14-Lanaudière,15- Laurentides,16- Montérégie,17 - Centre-du-Québec
2000,654.393,634.651,735.432,648.835,887.475,793.437,671.799,612.633,,,677.568,810.261,749.816,746.628,829.72,834.65
2001,596.751,713.325,677.833,636.065,659.622,607.488,659.598,695.596,,,590.112,644.677,659.087,699.183,638.205,644.449
2002,494.839,384.384,508.861,486.098,715.782,743.511,556.107,459.108,,,454.021,608.281,587.202,570.986,758.623,677.105
2003,734.488,681.378,869.115,741.145,943.392,883.359,820.871,682.216,,,725.273,946.024,827.096,882.129,893.87,928.903
2004,787.943,423.411,841.224,613.476,807.222,670.308,611.832,569.429,,,651.4,804.587,637.58,640.998,709.481,732.036
2005,827.426,412.259,949.993,726.047,1039.309,1017.28,675.269,578.176,,,755.203,1019.389,812.755,770.99,1014.742,1023.723
2006,781.573,463.726,890.875,829.543,1163.004,1121.217,853,690.104,,,755.925,970.386,993.137,975.701,1100.921,1039.498
2007,701.619,426.123,789.903,642.002,870.976,770.267,655.172,557.997,,,639.62,879.737,730.963,728.202,838.204,850.986
2008,741.456,566.803,921.307,762.922,943.395,712.781,734.812,719.484,,,726.524,878.393,818.706,801.075,797.926,853.907
2009,692.105,515.9,773.675,612.365,944.028,789.11,710.167,627.344,,,715.157,912.596,715.725,746.48,839.741,920.365
2010,839.902,527.72,750.601,662.173,1022.822,979.14,740.648,612.141,,,909.439,851.43,782.961,777.55,1002.635,917.339
2011,778.529,625.706,1001.22,788.401,1118.034,948.707,680.168,657.331,,,791.858,1027.788,795.176,749.222,1032.474,1017.688
2012,665.955,650.92,788.569,678.642,831.614,704.214,596.759,633.272,,,683.745,819.606,715.709,670.03,768.462,769.007
2013,685.769,613.09,807.955,712.604,931.753,780.098,738.248,666.526,,,740.606,888.278,769.028,778.061,863.372,889.263
Prévisions températures moyennes  à partir de 2014,760.34,711.753,871.541,745.476,925.743,837.9,728.182,690.619,,,774.753,880.697,785.474,786.985,873.418,882.375
2015,762.716,713.553,873.827,747.234,928.096,839.782,729.801,692.196,,,777.378,883.038,787.402,788.857,875.452,884.557
2016,765.125,715.372,876.142,749.017,930.476,841.68,731.444,693.795,,,780.042,885.405,789.353,790.752,877.506,886.765
2017,767.567,717.21,878.485,750.823,932.883,843.596,733.11,695.414,,,782.746,887.798,791.325,792.669,879.579,888.996
2018,770.039,719.066,880.857,752.652,935.315,845.529,734.799,697.053,,,785.489,890.215,793.32,794.609,881.67,891.252
2019,772.542,720.94,883.257,754.503,937.774,847.478,736.51,698.712,,,788.268,892.657,795.336,796.571,883.78,893.532
2020,775.075,722.831,885.683,756.377,940.257,849.444,738.244,700.389,,,791.085,895.123,797.373,798.554,885.907,895.834
2021,777.637,724.739,888.136,758.273,942.763,851.426,739.999,702.084,,,793.938,897.612,799.43,800.558,888.051,898.159
2022,780.227,726.662,890.614,760.189,945.293,853.425,741.776,703.797,,,796.825,900.123,801.509,802.583,890.213,900.505
2023,782.844,728.601,893.118,762.127,947.846,855.44,743.575,705.526,,,799.747,902.656,803.607,804.629,892.391,902.873
2024,785.489,730.555,895.647,764.085,950.421,857.471,745.394,707.272,,,802.702,905.21,805.725,806.694,894.586,905.262
2025,788.159,732.523,898.2,766.063,953.016,859.517,747.234,709.034,,,805.69,907.785,807.862,808.778,896.796,907.672
2026,790.854,734.505,900.777,768.06,955.632,861.579,749.094,710.81,,,808.709,910.38,810.018,810.881,899.021,910.101
2027,793.573,736.499,903.376,770.076,958.268,863.657,750.975,712.601,,,811.759,912.994,812.193,813.003,901.261,912.549
2028,796.316,738.507,905.998,772.11,960.923,865.751,752.875,714.406,,,814.839,915.626,814.386,815.143,903.516,915.017
2029,799.081,740.527,908.643,774.163,963.596,867.859,754.794,716.224,,,817.948,918.277,816.598,817.3,905.785,917.502
2030,801.868,742.558,911.308,776.233,966.287,869.983,756.733,718.054,,,821.086,920.945,818.826,819.474,908.068,920.006
2031,804.677,744.6,913.995,778.32,968.994,872.121,758.69,719.897,,,824.251,923.63,821.072,821.666,910.364,922.527
2032,807.505,746.653,916.702,780.423,971.718,874.274,760.666,721.75,,,827.442,926.33,823.335,823.873,912.673,925.064
2033,810.354,748.715,919.429,782.543,974.458,876.442,762.66,723.615,,,830.66,929.047,825.614,826.097,914.994,927.618
2034,813.221,750.787,922.175,784.678,977.212,878.625,764.672,725.489,,,833.902,931.778,827.909,828.336,917.328,930.187
2035,816.106,752.868,924.939,786.828,979.98,880.821,766.702,727.373,,,837.168,934.523,830.221,830.59,919.673,932.771