Observations précipitations annuelles totales (mm),Ensemble de la province de Québec,01-Bas-St-Laurent,02-Saguenay-Lac-St-Jean,03-Capitale-Nationale,04- Mauricie,05 - Estrie,06 - Montréal/ Laval,07- Outaouais,08 - Abitbi-Témiscamingue,858-Îles de la Madeleine,11- Gaspésie ,12-Chaudière-Appalaches,14-Lanaudière,15- Laurentides,16- Montérégie,17 - Centre-du-Québec
1990,815.171,1090.465,1023.305,1314.661,1058.378,1401.818,1095.424,988.837,1008.764,1365.13,1167.93,1335.987,1053.924,1068.98,1200.801,1289.801
1991,717.892,1046.747,857.293,1110.33,928.385,1153.828,880.467,889.064,847.953,1048.291,1084.265,1055.724,977.084,954.174,937.479,1033.081
1992,780.984,1110.402,1022.473,1176.507,984.473,1015.06,937.659,998.625,904.132,972.95,1009.597,1047.502,992.535,1025.765,956.187,985.32
1993,798.837,1098.154,1064.145,1259.488,1024.973,1306.472,1126.18,1017.002,914.271,1066.105,1118.064,1232.215,1086.354,1084.792,1182.629,1198.441
1994,809.29,1151.797,1133.506,1212.912,969.631,1229.352,985.572,922.513,873.104,1148.54,1257.888,1201.938,1023.186,1005.429,1056.683,1131.714
1995,837.025,1085.211,1220.657,1215.038,955.229,1314.243,1052.918,926.071,936.256,1109.199,1164.181,1221.592,1007.577,996.458,1088.646,1161.038
1996,866.036,1105.774,1327.871,1369.246,1195.978,1317.753,1140.19,934.219,899.96,1162.255,1113.876,1273.159,1177.678,1057.4,1161.27,1175.3
1997,747.996,920.006,1035.089,1125.082,957.319,1170.512,1048.988,908.91,925.613,964.195,887.328,1095.698,950.62,990.854,1029.391,1020.049
1998,810.132,1072.439,1059.216,1194.466,910.584,1096.553,916.64,870.339,856.039,1045.635,1239.336,1088.114,940.668,931.056,981.946,983.586
1999,893.53,1001.338,1086.884,1202.774,1028.457,1189.798,975.357,973.42,954.604,1172.69,1139.835,1137.743,1067.88,1066.646,987.768,1107.959
2000,793.392,1020.42,971.445,1145.697,931.224,1282.04,1080.396,898.053,815.703,1166.815,1073.908,1189.514,1052.485,1020.301,1132.719,1164.413
2001,784.314,842.442,985.958,990.139,883.477,952.439,803.508,910.774,943.659,789.396,859.695,909.577,919.769,971.526,854.518,868.845
2002,534.074,786.016,679.758,868.835,794.763,985.176,954.735,796.569,740.732,744.302,750.547,901.539,886.032,846.983,962.638,909.908
2003,830.07,1066.933,994.335,1259.289,1053.441,1293.744,1137.051,1041.575,906.69,1140.484,1055.99,1297.401,1141.767,1156.566,1169.833,1234.606
2004,774.219,1103.693,676.753,1182.289,891.615,1020.147,849.065,851.856,833.815,1058.164,978.274,1077.737,903.077,895.829,889.156,964.017
2005,785.555,1157.168,572.893,1309.163,973.725,1314.595,1207.628,865.355,770.042,1059.893,1115.275,1342.229,1064.361,996.396,1204.201,1259.275
2006,777.694,1081.663,670.669,1280.682,1126.683,1380.701,1325.656,1090.547,945.617,950.439,1062.843,1257.005,1267.303,1234.364,1283.389,1266.807
2007,775.714,1122.907,668.651,1232.411,917.711,1306.568,1003.927,895.885,793.104,997.592,1087.331,1330.215,1023.301,998.396,1107.579,1170.084
2008,827.612,1151.437,858.128,1404.34,1119.384,1333.818,1068.862,1081.842,1005.17,1133.67,1191.842,1333.795,1227.824,1197.252,1130.738,1244.029
2009,775.972,1020.67,744.241,1100.369,861.708,1178.647,972.596,928.321,873.023,1092.956,1056.568,1199.472,961.48,982.397,1032.148,1145.799
2010,743.774,1068.077,757.266,1097.618,935.182,1215.326,1132.142,913.775,805.87,1025.774,1158.289,1095.308,1019.027,980.171,1140.395,1075.393
2011,740.185,1125.974,881.726,1374.04,1063.39,1403.619,1153.102,933.917,851.357,1145.81,1177.051,1366.892,1100.126,1040.623,1249.481,1277.651
2012,743.26,949.495,877.049,1117.3,952.779,1065.338,923.344,841.197,868.603,973.599,972.899,1112.212,1013.639,957.928,964.325,990.689
2013,733.877,988.047,896.188,1145.45,993.473,1199.904,984.061,982.286,931.098,1009.468,1053.638,1177.436,1035.062,1038.091,1079.99,1127.674
Prévisions moyennes  à partir de 2014,809.332,1069.154,1009.782,1232.482,1009.853,1192.674,1014.013,959.425,932.571,1091.49,1106.938,1156.297,1047.02,1042.628,1058.309,1115.262
2015,810.92,1070.842,1011.572,1234.262,1011.395,1194.229,1015.478,960.488,933.741,1092.879,1108.691,1158.099,1048.484,1043.884,1059.724,1116.932
2016,812.529,1072.553,1013.382,1236.064,1012.959,1195.797,1016.957,961.565,934.922,1094.29,1110.472,1159.918,1049.966,1045.158,1061.154,1118.618
2017,814.158,1074.286,1015.213,1237.889,1014.544,1197.378,1018.449,962.656,936.116,1095.722,1112.28,1161.753,1051.467,1046.45,1062.598,1120.318
2018,815.806,1076.039,1017.062,1239.736,1016.149,1198.972,1019.953,963.761,937.32,1097.175,1114.114,1163.601,1052.985,1047.758,1064.056,1122.032
2019,817.474,1077.811,1018.93,1241.604,1017.774,1200.576,1021.469,964.88,938.536,1098.648,1115.973,1165.464,1054.52,1049.084,1065.526,1123.76
2020,819.16,1079.603,1020.815,1243.493,1019.417,1202.192,1022.997,966.013,939.763,1100.14,1117.856,1167.338,1056.072,1050.426,1067.01,1125.499
2021,820.864,1081.412,1022.715,1245.401,1021.078,1203.818,1024.536,967.159,940.999,1101.65,1119.761,1169.225,1057.639,1051.784,1068.505,1127.25
2022,822.586,1083.239,1024.631,1247.328,1022.756,1205.453,1026.085,968.318,942.246,1103.178,1121.689,1171.123,1059.222,1053.158,1070.012,1129.012
2023,824.324,1085.082,1026.561,1249.273,1024.45,1207.096,1027.644,969.491,943.502,1104.723,1123.637,1173.03,1060.819,1054.547,1071.53,1130.783
2024,826.079,1086.941,1028.503,1251.236,1026.16,1208.749,1029.212,970.678,944.768,1106.284,1125.605,1174.947,1062.431,1055.952,1073.059,1132.563
2025,827.85,1088.814,1030.458,1253.216,1027.884,1210.408,1030.789,971.877,946.042,1107.861,1127.592,1176.873,1064.056,1057.373,1074.597,1134.352
2026,829.635,1090.701,1032.424,1255.213,1029.622,1212.074,1032.375,973.09,947.324,1109.453,1129.596,1178.805,1065.694,1058.807,1076.145,1136.148
2027,831.436,1092.601,1034.399,1257.224,1031.373,1213.746,1033.969,974.315,948.615,1111.059,1131.617,1180.744,1067.345,1060.257,1077.702,1137.95
2028,833.251,1094.513,1036.384,1259.25,1033.137,1215.424,1035.569,975.554,949.913,1112.678,1133.653,1182.689,1069.007,1061.72,1079.267,1139.758
2029,835.079,1096.436,1038.377,1261.291,1034.911,1217.107,1037.177,976.805,951.219,1114.31,1135.704,1184.639,1070.681,1063.198,1080.84,1141.571
2030,836.921,1098.37,1040.377,1263.345,1036.697,1218.793,1038.79,978.068,952.531,1115.953,1137.768,1186.593,1072.365,1064.689,1082.42,1143.388
2031,838.775,1100.313,1042.383,1265.411,1038.493,1220.483,1040.41,979.345,953.85,1117.608,1139.845,1188.549,1074.059,1066.193,1084.007,1145.208
2032,840.641,1102.265,1044.394,1267.49,1040.297,1222.176,1042.035,980.633,955.176,1119.274,1141.933,1190.508,1075.763,1067.71,1085.6,1147.031
2033,842.519,1104.224,1046.409,1269.58,1042.11,1223.871,1043.664,981.934,956.507,1120.949,1144.031,1192.468,1077.476,1069.24,1087.199,1148.855
2034,844.408,1106.19,1048.427,1271.68,1043.931,1225.567,1045.297,983.247,957.843,1122.633,1146.139,1194.429,1079.198,1070.783,1088.803,1150.68
2035,846.307,1108.163,1050.447,1273.79,1045.758,1227.264,1046.935,984.572,959.185,1124.325,1148.254,1196.389,1080.927,1072.338,1090.412,1152.505
2050,875.677,1138,1080,1306,1073,1252,1072,1006,980,1150.214,1180,1225,1107,1097,1115,1150
2100,966.268,1209,1139,1398,1141,1307,1136,1091,1039,1217.406,1253,1281,1183,1185,1180,1232